incorrect,correct,error_type,language,task
"krci","kraci","missing_letter","sq","albanian_spelling_correction"
"tirshtim","trishtim","letter_transposition","sq","albanian_spelling_correction"
"inxinieri","inxhinieri","digraph_reduction","sq","albanian_spelling_correction"
"prooekt","proekt","extra_letter","sq","albanian_spelling_correction"
"prëralla","përralla","letter_transposition","sq","albanian_spelling_correction"
"lapsit","lapsi","case_ending_error","sq","albanian_spelling_correction"
"tsiohi","tsirohi","missing_letter","sq","albanian_spelling_correction"
"hannë","hanë","extra_letter","sq","albanian_spelling_correction"
"bbaë","bbaa","case_ending_error","sq","albanian_spelling_correction"
"kjutesë","kujtesë","letter_transposition","sq","albanian_spelling_correction"
"nëxnësit","nxënësit","letter_transposition","sq","albanian_spelling_correction"
"pusojmë","pushojmë","digraph_reduction","sq","albanian_spelling_correction"
"nreps","nrepsh","digraph_reduction","sq","albanian_spelling_correction"
"flutron","fluturon","missing_letter","sq","albanian_spelling_correction"
"ëstë","është","digraph_reduction","sq","albanian_spelling_correction"
"komunkimit","komunikimit","missing_letter","sq","albanian_spelling_correction"
"libbri","libri","extra_letter","sq","albanian_spelling_correction"
"detyre","detyrë","missing_diacritic","sq","albanian_spelling_correction"
"ltkurë","ltkuurë","missing_letter","sq","albanian_spelling_correction"
"punojn","punojnë","case_ending_error","sq","albanian_spelling_correction"
"univesitet","universitet","missing_letter","sq","albanian_spelling_correction"
"mbllidhen","mblidhen","extra_letter","sq","albanian_spelling_correction"
"nevjë","nevojë","missing_letter","sq","albanian_spelling_correction"
"detrë","detyrë","missing_letter","sq","albanian_spelling_correction"
"nattn","natn","extra_letter","sq","albanian_spelling_correction"
"rallibib","ralibib","extra_letter","sq","albanian_spelling_correction"
"mesimore","mësimore","missing_diacritic","sq","albanian_spelling_correction"
"tsiirohi","tsirohi","extra_letter","sq","albanian_spelling_correction"
"uniiversitet","universitet","extra_letter","sq","albanian_spelling_correction"
"ssitematik","sistematik","letter_transposition","sq","albanian_spelling_correction"
"cimmokread","cimokread","extra_letter","sq","albanian_spelling_correction"
"mëssuese","mësuese","extra_letter","sq","albanian_spelling_correction"
"ftotë","ftohtë","missing_letter","sq","albanian_spelling_correction"
"ambbient","ambient","extra_letter","sq","albanian_spelling_correction"
"kjudesen","kujdesen","letter_transposition","sq","albanian_spelling_correction"
"detyrë","detyrën","case_ending_error","sq","albanian_spelling_correction"
"rsepekt","respekt","letter_transposition","sq","albanian_spelling_correction"
"shmë","shumë","missing_letter","sq","albanian_spelling_correction"
"stoëm","sotëm","letter_transposition","sq","albanian_spelling_correction"
"gjith","gjithë","drop_final_vowel","sq","albanian_spelling_correction"
"mkain","makin","letter_transposition","sq","albanian_spelling_correction"
"oqeeanet","oqeanet","extra_letter","sq","albanian_spelling_correction"
"tisrohi","tsirohi","letter_transposition","sq","albanian_spelling_correction"
"ruga","rruga","digraph_reduction","sq","albanian_spelling_correction"
"dçika","diçka","letter_transposition","sq","albanian_spelling_correction"
"xhaxhë","xhaxha","case_ending_error","sq","albanian_spelling_correction"
"diër","dimër","missing_letter","sq","albanian_spelling_correction"
"githë","gjithë","digraph_reduction","sq","albanian_spelling_correction"
"maki","makin","case_ending_error","sq","albanian_spelling_correction"
"pallestrë","palestrë","extra_letter","sq","albanian_spelling_correction"
"floje","folje","letter_transposition","sq","albanian_spelling_correction"
"orgganizatë","organizatë","extra_letter","sq","albanian_spelling_correction"
"orgaizon","organizon","missing_letter","sq","albanian_spelling_correction"
"bibliteka","biblioteka","missing_letter","sq","albanian_spelling_correction"
"përmbledje","përmbledhje","digraph_reduction","sq","albanian_spelling_correction"
"itmss","itmess","missing_letter","sq","albanian_spelling_correction"
"zyra","zyrë","case_ending_error","sq","albanian_spelling_correction"
"lexojme","lexojmë","missing_diacritic","sq","albanian_spelling_correction"
"sfaqje","shfaqje","digraph_reduction","sq","albanian_spelling_correction"
"tonna","tona","extra_letter","sq","albanian_spelling_correction"
"shishë","shishe","case_ending_error","sq","albanian_spelling_correction"
"ship","shqip","missing_letter","sq","albanian_spelling_correction"
"bukkura","bukura","extra_letter","sq","albanian_spelling_correction"
"zyrrë","zyrë","extra_letter","sq","albanian_spelling_correction"
"zvhillim","zhvillim","letter_transposition","sq","albanian_spelling_correction"
"tekknol","teknol","extra_letter","sq","albanian_spelling_correction"
"tonnë","tonë","extra_letter","sq","albanian_spelling_correction"
"klasa","klasës","case_ending_error","sq","albanian_spelling_correction"
"psaqyron","pasqyron","letter_transposition","sq","albanian_spelling_correction"
"luanë","luajnë","missing_letter","sq","albanian_spelling_correction"
"gjha","gjuha","missing_letter","sq","albanian_spelling_correction"
"shkrhen","shkruhen","missing_letter","sq","albanian_spelling_correction"
"shookët","shokët","extra_letter","sq","albanian_spelling_correction"
"fëmija","fëmijë","case_ending_error","sq","albanian_spelling_correction"
"fsat","fshat","digraph_reduction","sq","albanian_spelling_correction"
"timakamee","timaktamee","missing_letter","sq","albanian_spelling_correction"
"gorrajgefi","gorajgefi","extra_letter","sq","albanian_spelling_correction"
"luaan","luan","extra_letter","sq","albanian_spelling_correction"
"dhuur","duhur","letter_transposition","sq","albanian_spelling_correction"
"tristim","trishtim","missing_letter","sq","albanian_spelling_correction"
"kmopjuter","kompjuter","letter_transposition","sq","albanian_spelling_correction"
"ver","verë","case_ending_error","sq","albanian_spelling_correction"
"skhruajm","shkruajm","letter_transposition","sq","albanian_spelling_correction"
"admiimi","admirimi","missing_letter","sq","albanian_spelling_correction"
"pun","punë","case_ending_error","sq","albanian_spelling_correction"
"lalmpa","llampa","letter_transposition","sq","albanian_spelling_correction"
"klae","klaë","case_ending_error","sq","albanian_spelling_correction"
"lë","llë","digraph_reduction","sq","albanian_spelling_correction"
"tokë","tokën","case_ending_error","sq","albanian_spelling_correction"
"dhjeta","dhjetë","case_ending_error","sq","albanian_spelling_correction"
"nejri","njeri","letter_transposition","sq","albanian_spelling_correction"
"figure","figurë","case_ending_error","sq","albanian_spelling_correction"
"vsëhtrim","vështrim","letter_transposition","sq","albanian_spelling_correction"
"sejllshëm","sjellshëm","letter_transposition","sq","albanian_spelling_correction"
"kmiratgë","kimratgë","letter_transposition","sq","albanian_spelling_correction"
"skhencore","shkencore","letter_transposition","sq","albanian_spelling_correction"
"eduim","edukim","missing_letter","sq","albanian_spelling_correction"
"kmobëtare","kombëtare","letter_transposition","sq","albanian_spelling_correction"
"çantat","çanta","case_ending_error","sq","albanian_spelling_correction"
"mdash","madsh","letter_transposition","sq","albanian_spelling_correction"
"shtatëmbëdhjet","shtatëmbëdhjetë","case_ending_error","sq","albanian_spelling_correction"
"fluturat","flutura","case_ending_error","sq","albanian_spelling_correction"
"ustruar","ushtruar","digraph_reduction","sq","albanian_spelling_correction"
"gjeografit","gjeografi","case_ending_error","sq","albanian_spelling_correction"
"made","madhe","digraph_reduction","sq","albanian_spelling_correction"
"klsë","klasë","missing_letter","sq","albanian_spelling_correction"
"kujjdes","kujdes","extra_letter","sq","albanian_spelling_correction"
"parra","para","extra_letter","sq","albanian_spelling_correction"
"prëmirësimit","përmirësimit","letter_transposition","sq","albanian_spelling_correction"
"atfësive","aftësive","letter_transposition","sq","albanian_spelling_correction"
"projktë","projektë","missing_letter","sq","albanian_spelling_correction"
"afttësive","aftësive","extra_letter","sq","albanian_spelling_correction"
"timmmrarnfso","timmrarnfso","extra_letter","sq","albanian_spelling_correction"
"dik","dikë","case_ending_error","sq","albanian_spelling_correction"
"mbëështetjes","mbështetjes","extra_letter","sq","albanian_spelling_correction"
"pesëcind","pesëqind","c_q_confusion","sq","albanian_spelling_correction"
"skhencëtarët","shkencëtarët","letter_transposition","sq","albanian_spelling_correction"
"arkitektur","arkitekturë","case_ending_error","sq","albanian_spelling_correction"
"sthet","shtet","letter_transposition","sq","albanian_spelling_correction"
"soprt","sport","letter_transposition","sq","albanian_spelling_correction"
"hraeshëm","hareshëm","letter_transposition","sq","albanian_spelling_correction"
"skronjë","shkronjë","digraph_reduction","sq","albanian_spelling_correction"
"proojekti","projekti","extra_letter","sq","albanian_spelling_correction"
"abmient","ambient","letter_transposition","sq","albanian_spelling_correction"
"mjeedisin","mjedisin","extra_letter","sq","albanian_spelling_correction"
"kommunikim","komunikim","extra_letter","sq","albanian_spelling_correction"
"përkaësisë","përkatësisë","missing_letter","sq","albanian_spelling_correction"
"mitss","mitess","missing_letter","sq","albanian_spelling_correction"
"vzahdueshme","vazhdueshme","letter_transposition","sq","albanian_spelling_correction"
"suhmës","shumës","letter_transposition","sq","albanian_spelling_correction"
"priindërit","prindërit","extra_letter","sq","albanian_spelling_correction"
"vale","valle","missing_letter","sq","albanian_spelling_correction"
"eksperimentë","eksperimenti","case_ending_error","sq","albanian_spelling_correction"
"histrinë","historinë","missing_letter","sq","albanian_spelling_correction"
"bseueshëm","besueshëm","letter_transposition","sq","albanian_spelling_correction"
"katërmbdhjetë","katërmbëdhjetë","missing_letter","sq","albanian_spelling_correction"
"drejtësit","drejtësi","case_ending_error","sq","albanian_spelling_correction"
"shkim","shkrim","missing_letter","sq","albanian_spelling_correction"
"rregulore","rregullore","missing_letter","sq","albanian_spelling_correction"
"eusëm","esuëm","letter_transposition","sq","albanian_spelling_correction"
"dasuri","dashuri","missing_letter","sq","albanian_spelling_correction"
"eskperimente","eksperimente","letter_transposition","sq","albanian_spelling_correction"
"sëndetshëm","shëndetshëm","digraph_reduction","sq","albanian_spelling_correction"
"mbiemer","mbiemër","missing_diacritic","sq","albanian_spelling_correction"
"sq","shq","digraph_reduction","sq","albanian_spelling_correction"
"vizitojma","vizitojmë","case_ending_error","sq","albanian_spelling_correction"
"përrala","përralla","digraph_reduction","sq","albanian_spelling_correction"
"dëgoj","dëgjoj","missing_letter","sq","albanian_spelling_correction"
"vizitojme","vizitojmë","case_ending_error","sq","albanian_spelling_correction"
"mneçur","mençur","letter_transposition","sq","albanian_spelling_correction"
"vere","verë","case_ending_error","sq","albanian_spelling_correction"
"gjastë","gjashtë","digraph_reduction","sq","albanian_spelling_correction"
"bkuur","bukur","letter_transposition","sq","albanian_spelling_correction"
"smëurë","sëmurë","letter_transposition","sq","albanian_spelling_correction"
"nrdiçon","ndriçon","letter_transposition","sq","albanian_spelling_correction"
"pale","palë","case_ending_error","sq","albanian_spelling_correction"
"makina","makinë","case_ending_error","sq","albanian_spelling_correction"
"klae","klaë","missing_diacritic","sq","albanian_spelling_correction"
"vnedosur","vendosur","letter_transposition","sq","albanian_spelling_correction"
"lummtur","lumtur","extra_letter","sq","albanian_spelling_correction"
"eljifam","ejlifam","letter_transposition","sq","albanian_spelling_correction"
"dimmër","dimër","extra_letter","sq","albanian_spelling_correction"
"studiojma","studiojmë","case_ending_error","sq","albanian_spelling_correction"
"qëndreshëm","qëndrueshëm","missing_letter","sq","albanian_spelling_correction"
"mash","madsh","missing_letter","sq","albanian_spelling_correction"
"përmbedhje","përmbledhje","missing_letter","sq","albanian_spelling_correction"
"softwara","software","case_ending_error","sq","albanian_spelling_correction"
"skencëtarët","shkencëtarët","digraph_reduction","sq","albanian_spelling_correction"
"çëndruar","qëndruar","c_q_confusion","sq","albanian_spelling_correction"
"mnëyrën","mënyrën","letter_transposition","sq","albanian_spelling_correction"
"vendorë","vendore","case_ending_error","sq","albanian_spelling_correction"
"babat","baba","case_ending_error","sq","albanian_spelling_correction"
"viztim","vizatim","missing_letter","sq","albanian_spelling_correction"
"sinqert","sinqertë","case_ending_error","sq","albanian_spelling_correction"
"tkoën","tokën","letter_transposition","sq","albanian_spelling_correction"
"përgjegjësit","përgjegjësi","case_ending_error","sq","albanian_spelling_correction"
"eudkim","edukim","letter_transposition","sq","albanian_spelling_correction"
"lle","llë","missing_diacritic","sq","albanian_spelling_correction"
"labborator","laborator","extra_letter","sq","albanian_spelling_correction"
"qënduar","qëndruar","missing_letter","sq","albanian_spelling_correction"
"shkolor","shkollor","digraph_reduction","sq","albanian_spelling_correction"
"përgatin","përgatit","case_ending_error","sq","albanian_spelling_correction"
"bëra","bërë","case_ending_error","sq","albanian_spelling_correction"
"skhollë","shkollë","letter_transposition","sq","albanian_spelling_correction"
"uje","ujë","missing_diacritic","sq","albanian_spelling_correction"
"ushcim","ushqim","c_q_confusion","sq","albanian_spelling_correction"
"shkruajme","shkruajmë","case_ending_error","sq","albanian_spelling_correction"
"bessueshëm","besueshëm","extra_letter","sq","albanian_spelling_correction"
"msëuesja","mësuesja","letter_transposition","sq","albanian_spelling_correction"
"nrgoh","ngroh","letter_transposition","sq","albanian_spelling_correction"
"qtyet","qytet","letter_transposition","sq","albanian_spelling_correction"
"fshave","fshat","case_ending_error","sq","albanian_spelling_correction"
"shkkrimtar","shkrimtar","extra_letter","sq","albanian_spelling_correction"
"njgarje","ngjarje","letter_transposition","sq","albanian_spelling_correction"
"ristohin","ristohi","case_ending_error","sq","albanian_spelling_correction"
"pune","punë","missing_diacritic","sq","albanian_spelling_correction"
"atrefakte","artefakte","letter_transposition","sq","albanian_spelling_correction"
"bsahkon","bashkon","letter_transposition","sq","albanian_spelling_correction"
"cellar","celular","missing_letter","sq","albanian_spelling_correction"
"vësshtrim","vështrim","extra_letter","sq","albanian_spelling_correction"
"tnigull","tingull","letter_transposition","sq","albanian_spelling_correction"
"vepritari","veprimtari","missing_letter","sq","albanian_spelling_correction"
"evioj","evitoj","missing_letter","sq","albanian_spelling_correction"
"porcedurave","procedurave","letter_transposition","sq","albanian_spelling_correction"
"mbiiemër","mbiemër","extra_letter","sq","albanian_spelling_correction"
"imtsqar","imtshqar","digraph_reduction","sq","albanian_spelling_correction"
"drejt","drejtë","drop_final_vowel","sq","albanian_spelling_correction"
"modrne","moderne","missing_letter","sq","albanian_spelling_correction"
"emërora","emërore","case_ending_error","sq","albanian_spelling_correction"
"kompetencëve","kompetencave","case_ending_error","sq","albanian_spelling_correction"
"porcesi","procesi","letter_transposition","sq","albanian_spelling_correction"
"kalsës","klasës","letter_transposition","sq","albanian_spelling_correction"
"vejtra","vjetra","letter_transposition","sq","albanian_spelling_correction"
"njri","njeri","missing_letter","sq","albanian_spelling_correction"
"makkin","makin","extra_letter","sq","albanian_spelling_correction"
"bibliotek","bibliotekë","drop_final_vowel","sq","albanian_spelling_correction"
"muzkë","muzikë","missing_letter","sq","albanian_spelling_correction"
"pjesëmarrjë","pjesëmarrje","case_ending_error","sq","albanian_spelling_correction"
"rcaional","racional","letter_transposition","sq","albanian_spelling_correction"
"librin","libri","case_ending_error","sq","albanian_spelling_correction"
"përgati","përgatit","case_ending_error","sq","albanian_spelling_correction"
"seral","serial","missing_letter","sq","albanian_spelling_correction"
"mencur","mençur","missing_diacritic","sq","albanian_spelling_correction"
"përparës","përpara","case_ending_error","sq","albanian_spelling_correction"
"dmeokraci","demokraci","letter_transposition","sq","albanian_spelling_correction"
"treojm","tregojm","missing_letter","sq","albanian_spelling_correction"
"cakktuar","caktuar","extra_letter","sq","albanian_spelling_correction"
"tlikgenoo","tlikgenjoo","digraph_reduction","sq","albanian_spelling_correction"
"vjetrtë","vjetrta","case_ending_error","sq","albanian_spelling_correction"
"përgjegjsëm","përgjegjshëm","digraph_reduction","sq","albanian_spelling_correction"
"njëës","njëjës","missing_letter","sq","albanian_spelling_correction"
"pesëijë","pesëmijë","missing_letter","sq","albanian_spelling_correction"
"gorajgefin","gorajgefi","case_ending_error","sq","albanian_spelling_correction"
"dike","dikë","case_ending_error","sq","albanian_spelling_correction"
"përshëndetjë","përshëndetje","case_ending_error","sq","albanian_spelling_correction"
"shooku","shoku","extra_letter","sq","albanian_spelling_correction"
"cmiarkode","cimarkode","letter_transposition","sq","albanian_spelling_correction"
"ngarje","ngjarje","digraph_reduction","sq","albanian_spelling_correction"
"ambent","ambient","missing_letter","sq","albanian_spelling_correction"
"zgidh","zgjidh","digraph_reduction","sq","albanian_spelling_correction"
"tkenologjia","teknologjia","letter_transposition","sq","albanian_spelling_correction"
"librës","libra","case_ending_error","sq","albanian_spelling_correction"
"mesimit","mësimit","missing_diacritic","sq","albanian_spelling_correction"
"plaanifikuar","planifikuar","extra_letter","sq","albanian_spelling_correction"
"tradtat","traditat","missing_letter","sq","albanian_spelling_correction"
"mnëyrë","mënyrë","letter_transposition","sq","albanian_spelling_correction"
"pranver","pranverë","case_ending_error","sq","albanian_spelling_correction"
"thjehtë","thjeshtë","missing_letter","sq","albanian_spelling_correction"
"tettë","tetë","extra_letter","sq","albanian_spelling_correction"
"msëuesi","mësuesi","letter_transposition","sq","albanian_spelling_correction"
"qevria","qeveria","missing_letter","sq","albanian_spelling_correction"
"vere","verë","missing_diacritic","sq","albanian_spelling_correction"
"studojnë","studiojnë","missing_letter","sq","albanian_spelling_correction"
"gjeografise","gjeografisë","missing_diacritic","sq","albanian_spelling_correction"
"oborrit","oborrin","case_ending_error","sq","albanian_spelling_correction"
"lsahta","lashta","letter_transposition","sq","albanian_spelling_correction"
"çëndrueshëm","qëndrueshëm","c_q_confusion","sq","albanian_spelling_correction"
"kompeks","kompleks","missing_letter","sq","albanian_spelling_correction"
"fjaalë","fjalë","extra_letter","sq","albanian_spelling_correction"
"skhruan","shkruan","letter_transposition","sq","albanian_spelling_correction"
"naten","natën","missing_diacritic","sq","albanian_spelling_correction"
"tsirohin","tsirohi","case_ending_error","sq","albanian_spelling_correction"
"shttet","shtet","extra_letter","sq","albanian_spelling_correction"
"pusim","pushim","digraph_reduction","sq","albanian_spelling_correction"
"gur","gurë","case_ending_error","sq","albanian_spelling_correction"
"sukes","sukses","missing_letter","sq","albanian_spelling_correction"
"behen","bëhen","missing_diacritic","sq","albanian_spelling_correction"
"parlment","parlament","missing_letter","sq","albanian_spelling_correction"
"pema","pemë","case_ending_error","sq","albanian_spelling_correction"
"timmrrnfso","timmrarnfso","missing_letter","sq","albanian_spelling_correction"
"venndosur","vendosur","extra_letter","sq","albanian_spelling_correction"
"laboator","laborator","missing_letter","sq","albanian_spelling_correction"
"rtarkëncsë","rtarkëncshë","digraph_reduction","sq","albanian_spelling_correction"
"mbrmje","mbrëmje","missing_letter","sq","albanian_spelling_correction"
"pesëmije","pesëmijë","case_ending_error","sq","albanian_spelling_correction"
"prëpiktë","përpiktë","letter_transposition","sq","albanian_spelling_correction"
"muzzeun","muzeun","extra_letter","sq","albanian_spelling_correction"
"ktaërmbëdhjetë","katërmbëdhjetë","letter_transposition","sq","albanian_spelling_correction"
"ralibi","rralibi","digraph_reduction","sq","albanian_spelling_correction"
"nje","një","missing_diacritic","sq","albanian_spelling_correction"
"gejografis","gjeografis","letter_transposition","sq","albanian_spelling_correction"
"gethe","gjethe","digraph_reduction","sq","albanian_spelling_correction"
"babë","babi","case_ending_error","sq","albanian_spelling_correction"
"kommunitet","komunitet","extra_letter","sq","albanian_spelling_correction"
"drejta","drejtë","case_ending_error","sq","albanian_spelling_correction"
"nerëz","njerëz","digraph_reduction","sq","albanian_spelling_correction"
"mënyre","mënyrë","case_ending_error","sq","albanian_spelling_correction"
"vlale","valle","letter_transposition","sq","albanian_spelling_correction"
"respkti","respekti","missing_letter","sq","albanian_spelling_correction"
"tejrëve","tjerëve","letter_transposition","sq","albanian_spelling_correction"
"komunkimin","komunikimin","missing_letter","sq","albanian_spelling_correction"
"tavoinë","tavolinë","missing_letter","sq","albanian_spelling_correction"
"rergullore","rregullore","letter_transposition","sq","albanian_spelling_correction"
"dzyet","dyzet","letter_transposition","sq","albanian_spelling_correction"
"studiojn","studiojnë","drop_final_vowel","sq","albanian_spelling_correction"
"pusshim","pushim","extra_letter","sq","albanian_spelling_correction"
"mijëf","mijëfë","case_ending_error","sq","albanian_spelling_correction"
"doën","dotën","missing_letter","sq","albanian_spelling_correction"
"mbares","mbaresë","drop_final_vowel","sq","albanian_spelling_correction"
"vlrë","vlerë","missing_letter","sq","albanian_spelling_correction"
"peremër","përemër","missing_diacritic","sq","albanian_spelling_correction"
"tergon","tregon","letter_transposition","sq","albanian_spelling_correction"
"fluura","flutura","missing_letter","sq","albanian_spelling_correction"
"skruajmë","shkruajmë","digraph_reduction","sq","albanian_spelling_correction"
"dhuet","duhet","letter_transposition","sq","albanian_spelling_correction"
"kmiud","kmieud","missing_letter","sq","albanian_spelling_correction"
"dohma","dhoma","letter_transposition","sq","albanian_spelling_correction"
"hiporit","hipokrit","missing_letter","sq","albanian_spelling_correction"
"skr","shkr","digraph_reduction","sq","albanian_spelling_correction"
"ndjenje","ndjenjë","missing_diacritic","sq","albanian_spelling_correction"
"skhurtër","shkurtër","letter_transposition","sq","albanian_spelling_correction"
"dramë","drama","case_ending_error","sq","albanian_spelling_correction"
"bër","bërë","case_ending_error","sq","albanian_spelling_correction"
"luajme","luajmë","missing_diacritic","sq","albanian_spelling_correction"
"pessë","pesë","extra_letter","sq","albanian_spelling_correction"
"modrn","modern","missing_letter","sq","albanian_spelling_correction"
"ngjarjë","ngjarje","case_ending_error","sq","albanian_spelling_correction"
"vettëm","vetëm","extra_letter","sq","albanian_spelling_correction"
"lappsi","lapsi","extra_letter","sq","albanian_spelling_correction"
"satë","saktë","missing_letter","sq","albanian_spelling_correction"
"shtëpise","shtëpisë","case_ending_error","sq","albanian_spelling_correction"
"ndeerim","nderim","extra_letter","sq","albanian_spelling_correction"
"gjaut","gjakut","missing_letter","sq","albanian_spelling_correction"
"famlje","familje","missing_letter","sq","albanian_spelling_correction"
"lumur","lumtur","missing_letter","sq","albanian_spelling_correction"
"studiojme","studiojmë","missing_diacritic","sq","albanian_spelling_correction"
"dmeokr","demokr","letter_transposition","sq","albanian_spelling_correction"
"muzë","muze","case_ending_error","sq","albanian_spelling_correction"
"matematikë","matematike","case_ending_error","sq","albanian_spelling_correction"
"argëtohemë","argëtohemi","case_ending_error","sq","albanian_spelling_correction"
"fmailja","familja","letter_transposition","sq","albanian_spelling_correction"
"peseqind","pesëqind","missing_diacritic","sq","albanian_spelling_correction"
"paletra","palestra","missing_letter","sq","albanian_spelling_correction"
"tana","tanë","case_ending_error","sq","albanian_spelling_correction"
"kattër","katër","extra_letter","sq","albanian_spelling_correction"
"përrgatisim","përgatisim","extra_letter","sq","albanian_spelling_correction"
"psuhojmë","pushojmë","letter_transposition","sq","albanian_spelling_correction"
"ys","ysh","digraph_reduction","sq","albanian_spelling_correction"
"zgjid","zgjidh","digraph_reduction","sq","albanian_spelling_correction"
"karil","kartil","missing_letter","sq","albanian_spelling_correction"
"groajgefi","gorajgefi","letter_transposition","sq","albanian_spelling_correction"
"oqenet","oqeanet","missing_letter","sq","albanian_spelling_correction"
"babë","baba","case_ending_error","sq","albanian_spelling_correction"
"rëndësishmë","rëndësishme","case_ending_error","sq","albanian_spelling_correction"
"draama","drama","extra_letter","sq","albanian_spelling_correction"
"zjgidh","zgjidh","letter_transposition","sq","albanian_spelling_correction"
"vjeshte","vjeshtë","missing_diacritic","sq","albanian_spelling_correction"
"shtatëmbëdhjet","shtatëmbëdhjetë","drop_final_vowel","sq","albanian_spelling_correction"
"projekt","projektë","case_ending_error","sq","albanian_spelling_correction"
"rregullojne","rregullojnë","case_ending_error","sq","albanian_spelling_correction"
"mbliden","mblidhen","digraph_reduction","sq","albanian_spelling_correction"
"sphjegon","shpjegon","letter_transposition","sq","albanian_spelling_correction"
"gëzzim","gëzim","extra_letter","sq","albanian_spelling_correction"
"kamer","kamerë","drop_final_vowel","sq","albanian_spelling_correction"
